2025-03-31 16:38:59,101 - INFO - Step 0: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-31 16:40:35,104 - INFO - Step 0: Action [2], Reward [-4.e-05], Episode 0, Trade Count 1
2025-03-31 16:40:41,745 - INFO - Step 1: Action [1], Reward [-0.00016], Episode 0, Trade Count 1
2025-03-31 16:40:41,758 - INFO - Step 2: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-31 16:40:48,872 - INFO - Step 1: Action [2], Reward [-6.e-05], Episode 0, Trade Count 1
2025-03-31 16:40:49,483 - INFO - Step 1: Action [1], Reward [-0.00021], Episode 0, Trade Count 1
2025-03-31 16:40:51,767 - INFO - Step 3: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-31 16:40:55,369 - INFO - Step 1: Action [2], Reward [-0.00016], Episode 0, Trade Count 1
2025-03-31 16:40:59,029 - INFO - Step 2: Action [2], Reward [-0.00015], Episode 0, Trade Count 1
2025-03-31 16:40:59,654 - INFO - Step 2: Action [2], Reward [-0.00014], Episode 0, Trade Count 1
2025-03-31 16:40:59,667 - INFO - Step 3: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-31 16:41:01,780 - INFO - Step 4: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-31 16:41:05,536 - INFO - Step 2: Action [1], Reward [-0.00013], Episode 0, Trade Count 1
2025-03-31 16:41:09,187 - INFO - Step 3: Action [1], Reward [-0.00012], Episode 0, Trade Count 1
2025-03-31 16:41:15,706 - INFO - Step 3: Action [1], Reward [-0.00013], Episode 0, Trade Count 1
2025-03-31 16:41:19,349 - INFO - Step 4: Action [1], Reward [-0.00011], Episode 0, Trade Count 1
2025-03-31 16:41:19,834 - INFO - Step 4: Action [2], Reward [-0.00014], Episode 0, Trade Count 1
2025-03-31 16:41:26,962 - INFO - Step 5: Action [2], Reward [-0.00013], Episode 0, Trade Count 1
2025-03-31 16:41:29,561 - INFO - Step 5: Action [2], Reward [-0.0003], Episode 0, Trade Count 1
2025-03-31 16:41:30,041 - INFO - Step 5: Action [2], Reward [-0.0003], Episode 0, Trade Count 1
2025-03-31 16:41:30,872 - INFO - Step 4: Action [2], Reward [-0.0003], Episode 0, Trade Count 1
2025-03-31 16:41:30,889 - INFO - Step 5: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-31 16:41:36,975 - INFO - Step 6: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-31 16:41:39,728 - INFO - Step 6: Action [2], Reward [-0.00012], Episode 0, Trade Count 1
2025-03-31 16:41:45,213 - INFO - Step 6: Action [1], Reward [-0.00012], Episode 0, Trade Count 1
2025-03-31 16:41:59,899 - INFO - Step 7: Action [2], Reward [-0.00016], Episode 0, Trade Count 1
2025-03-31 16:41:59,915 - INFO - Step 8: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-31 16:42:05,386 - INFO - Step 7: Action [2], Reward [-0.00016], Episode 0, Trade Count 1
2025-03-31 16:42:06,066 - INFO - Step 6: Action [1], Reward [-0.00016], Episode 0, Trade Count 1
2025-03-31 16:42:09,934 - INFO - Step 9: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-31 16:42:10,535 - INFO - Step 8: Action [1], Reward [-0.0003], Episode 0, Trade Count 1
2025-03-31 16:42:10,548 - INFO - Step 9: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-31 16:42:11,228 - INFO - Step 7: Action [1], Reward [-0.0003], Episode 0, Trade Count 1
2025-03-31 16:42:11,245 - INFO - Step 8: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-31 16:42:12,146 - INFO - Step 7: Action [1], Reward [-0.0003], Episode 0, Trade Count 1
2025-03-31 16:42:19,946 - INFO - Step 10: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-31 16:42:20,558 - INFO - Step 10: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-31 16:42:22,311 - INFO - Step 8: Action [2], Reward [-0.00016], Episode 0, Trade Count 1
2025-03-31 16:42:22,324 - INFO - Step 9: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-31 16:42:26,400 - INFO - Step 9: Action [2], Reward [-0.00012], Episode 0, Trade Count 1
2025-03-31 16:42:39,955 - INFO - Step 11: Action [0], Reward [0.001], Episode 0, Trade Count 0
2025-03-31 16:42:42,494 - INFO - Step 10: Action [2], Reward [-0.00019], Episode 0, Trade Count 1
